Customer ID,Recency,Frequency,Monetary,AvgOrderValue,AvgBasketSize,UniqueProducts,ReturnCount,Tenure,FirstPurchase,LastPurchase,PreferredDayOfWeek,PreferredMonth,ReturnRate,Country,Churned,Cluster,Persona,Tenure_years,CLV_Raw,Retention_factor,CLV,CLV_Tier,CLV_Tier_encoded,Country_encoded
12346,326,12,77556.46,6463.038333333334,6190.416666666667,27,5.0,400,2009-12-14 08:34:00,2011-01-18 10:01:00,0,6,0.4167,United Kingdom,1,0,Champions,1.095890410958904,162549.8408219178,0.2,32509.968164383565,High,0,38
12347,2,8,4921.53,615.19125,370.875,126,0.0,402,2010-10-31 14:20:00,2011-12-07 15:52:00,1,10,0.0,Iceland,0,0,Champions,1.1013698630136985,10341.954821917809,1.0,10341.954821917809,High,0,16
12348,75,5,2019.4,403.88,542.8,25,0.0,362,2010-09-27 14:59:00,2011-09-25 13:13:00,0,9,0.0,Finland,0,1,Loyal Developing,0.9917808219178083,4022.2021917808224,1.0,4022.2021917808224,High,0,12
12349,19,4,4428.6900000000005,1107.1725,406.0,138,1.0,570,2010-04-29 13:20:00,2011-11-21 09:51:00,3,11,0.25,Italy,0,0,Champions,1.5616438356164384,11344.726438356163,1.0,11344.726438356163,High,0,18
12350,310,1,334.40000000000003,334.40000000000003,197.0,17,0.0,0,2011-02-02 16:01:00,2011-02-02 16:01:00,2,2,0.0,Norway,1,2,One-Time Lost,0.0,334.40000000000003,0.2,66.88000000000001,Low,1,26
12351,375,1,300.93,300.93,261.0,21,0.0,0,2010-11-29 15:23:00,2010-11-29 15:23:00,0,11,0.0,Unspecified,1,2,One-Time Lost,0.0,300.93,0.2,60.18600000000001,Low,1,39
12352,36,10,2849.84,284.98400000000004,72.4,70,3.0,356,2010-11-12 10:20:00,2011-11-03 14:37:00,1,11,0.3,Norway,0,0,Champions,0.9753424657534246,5629.40997260274,1.0,5629.40997260274,High,0,26
12353,204,2,406.76,203.38,106.0,23,0.0,204,2010-10-27 12:44:00,2011-05-19 17:47:00,2,10,0.0,Bahrain,1,1,Loyal Developing,0.5589041095890411,634.0998356164383,0.2,126.81996712328767,Low,1,2
12354,232,1,1079.4,1079.4,530.0,58,0.0,0,2011-04-21 13:11:00,2011-04-21 13:11:00,3,4,0.0,Spain,1,1,Loyal Developing,0.0,1079.4,0.2,215.88000000000002,Medium,2,32
12355,214,2,947.61,473.80500000000006,271.5,35,0.0,353,2010-05-21 11:59:00,2011-05-09 13:49:00,4,5,0.0,Bahrain,1,1,Loyal Developing,0.9671232876712329,1864.0656986301374,0.2,372.8131397260275,Medium,2,2
