iter	Passed	Remaining
0	17	1750
1	26	1311
2	36	1177
3	42	1029
4	60	1141
5	70	1100
6	78	1049
7	91	1049
8	100	1017
9	123	1107
10	130	1055
11	137	1008
12	144	963
13	151	932
14	158	896
15	165	870
16	173	846
17	181	828
18	190	811
19	198	794
20	206	776
21	214	761
22	236	791
23	251	794
24	258	774
25	269	767
26	279	754
27	293	754
28	301	738
29	308	719
30	316	705
31	323	687
32	333	676
33	343	665
34	352	654
35	360	640
36	368	627
37	377	616
38	384	600
39	391	587
40	400	576
41	408	563
42	415	550
43	425	542
44	434	530
45	448	526
46	463	522
47	475	515
48	483	503
49	499	499
50	510	490
51	518	478
52	528	468
53	537	457
54	550	450
55	558	439
56	566	427
57	574	416
58	582	404
59	592	394
60	607	388
61	615	377
62	657	386
63	665	374
64	673	362
65	679	349
66	686	338
67	693	326
68	699	314
69	707	303
70	715	292
71	722	280
72	728	269
73	735	258
74	741	247
75	747	236
76	754	225
77	760	214
78	768	204
79	775	193
80	781	183
81	788	173
82	794	162
83	801	152
84	811	143
85	818	133
86	824	123
87	831	113
88	838	103
89	844	93
90	852	84
91	858	74
92	864	65
93	871	55
94	877	46
95	885	36
96	892	27
97	900	18
98	906	9
99	914	0
